gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,annotated cluster,cell type,meta cell type identity,
Psmd1,0.0000000000000000000713578081350711,0.378118386200374,0.134,0.072,0.00000000000000166977271036066,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Rtn4,0.00000000000000000000000000668290783548597,0.377499026750707,0.157,0.079,0.000000000000000000000156380043350372,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Zeb2,0.00000000000000000000000000000000000000000125114945271492,0.376112377132753,0.221,0.11,0.0000000000000000000000000000000000000292768971935291,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Il7r,0.000000000000000000000000000000000000000000000000000000000000000000782196839912157,0.374161763414238,0.153,0.053,0.0000000000000000000000000000000000000000000000000000000000000183034060539445,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Fcgr1,0.000000000000000000000170720090911616,0.37234319997677,0.105,0.046,0.0000000000000000039948501273318,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Emp3,0.00000000000000000000000000000000000000000116055545026795,0.369643313506426,0.327,0.19,0.00000000000000000000000000000000000002715699753627,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
4930506M07Rik,0.00000000000000000000113426268195968,0.365513696554444,0.148,0.078,0.0000000000000000265417467578566,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Msrb1,0.0000000000000000000000000000000000000000000000000000000000399900430095363,0.360797265476284,0.378,0.216,0.00000000000000000000000000000000000000000000000000000093576700642315,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Cd53,0.0000000000000000000000000000000000000000000659524001519275,0.359171345305199,0.282,0.155,0.0000000000000000000000000000000000000015432861635551,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Sepp1,0.0000000000000000000000014644283806885,0.358178366094001,0.389,0.275,0.0000000000000000000342676241081109,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Vim,0.0000000000000000000000000000000000000000000000000000000000000000000000000158287487870597,0.355573314861914,0.641,0.426,0.000000000000000000000000000000000000000000000000000000000000000000000370392721617197,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Blvra,0.0000000000000000000000000101350450704618,0.354544279665782,0.16,0.083,0.000000000000000000000237160054648807,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Pirb,0.00000000000000000000000000000142894886982156,0.349356976329339,0.16,0.079,0.0000000000000000000000000334374035538244,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Rap2b,0.000000000000000000000000177728691679431,0.349341426246495,0.126,0.059,0.00000000000000000000415885138529869,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Cd9,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000281571662567515,0.347344283610105,0.619,0.411,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000658877690407986,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Casp1,0.0000000000000000000000000530533064869317,0.346859291483314,0.107,0.046,0.0000000000000000000012414473717942,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
S100a1,0.000000000000000000213751538306393,0.346356326577052,0.232,0.152,0.0000000000000050017859963696,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Apoc2,0.00000000000000000000000000000211633005164277,0.339992552295766,0.111,0.046,0.0000000000000000000000000495221232084409,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Arg1,0.000000000000000000000000000000000000077031930527333,0.338962187965871,0.288,0.167,0.00000000000000000000000000000000180254717433959,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Cd52,0.000000000000000000000000000000000000000000000000000000000000000000133272692372303,0.338024880011611,0.51,0.316,0.0000000000000000000000000000000000000000000000000000000000000031185810015119,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Rnf13,0.00000000000000000000971492014376941,0.337705755993691,0.138,0.072,0.000000000000000227329131364204,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Dab2,0.000000000000000000000000000168869154719584,0.336882683095968,0.266,0.162,0.00000000000000000000000395153822043826,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Rgs10,0.0000000000000000000000000000122715931554517,0.334721475615322,0.19,0.101,0.000000000000000000000000287155279837571,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Tpd52,0.00000000000000000000760080817587458,0.333596052183996,0.216,0.132,0.000000000000000177858911315465,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Laptm5,0.0000000000000000000000000000000000000000000000000000000000000114877226628309,0.333127558318074,0.532,0.341,0.000000000000000000000000000000000000000000000000000000000268812710310244,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Atp6v0e,0.0000000000000000000000000000000000380659449273103,0.331703341776229,0.342,0.215,0.00000000000000000000000000000089074311129906,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Atp6v1c1,0.00000000000000000000000000000183102244638201,0.329308687823177,0.135,0.061,0.0000000000000000000000000428459252453391,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Ucp2,0.0000000000000000000000000000000552706563205185,0.326860516661176,0.307,0.19,0.00000000000000000000000000129333335790013,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Sat1,0.00000000000000000000000000000000000000000000118610193056659,0.326458973838124,0.458,0.298,0.0000000000000000000000000000000000000000277547851752583,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Rab7,0.0000000000000000000216891779641885,0.325564688990579,0.231,0.145,0.000000000000000507526764362011,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Soat1,0.0000000000000000632587524839545,0.325441474047997,0.156,0.091,0.00000000000148025480812454,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Csf1r,0.00000000000000000000000000115414800968506,0.324278469668941,0.15,0.074,0.0000000000000000000000270070634266305,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Tnfaip2,0.00000000000000000000000365157782222734,0.320060746620007,0.126,0.061,0.0000000000000000000854469210401198,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Atp6v1f,0.000000000000000000000000000351082025869215,0.316101782744972,0.293,0.184,0.00000000000000000000000821531940533963,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Lgals3bp,0.0000000000000000000000626555677389269,0.315615400772182,0.157,0.084,0.00000000000000000146614028509089,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Tcirg1,0.00000000000000000000000149513432188056,0.314925612000996,0.12,0.056,0.0000000000000000000349861431320052,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
AI607873,0.000000000000000000109772427592901,0.313981827066929,0.141,0.076,0.00000000000000256867480567388,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Sirpa,0.000000000000000000000000000000000000852079732979861,0.313339785832026,0.171,0.082,0.0000000000000000000000000000000199386657517288,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Sh3bgrl3,0.000000000000000000000000000000000000000000000000168132478625941,0.312966847528898,0.597,0.426,0.00000000000000000000000000000000000000000000393429999984703,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Cd302,0.0000000000000000000000000000000000000128143257776629,0.311718931218376,0.327,0.198,0.000000000000000000000000000000000299855223197312,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Camk1,0.000000000000385030560137028,0.309622824784255,0.127,0.074,0.00000000900971510720646,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Asah1,0.0000000000000000000109681540646406,0.309460555677731,0.195,0.116,0.000000000000000256654805112591,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Glipr1,0.000000000000000000000000000429407090810394,0.308872790487935,0.106,0.044,0.0000000000000000000000100481259249632,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Bst2,0.0000000000000000000124446858920657,0.307520006886278,0.17,0.097,0.000000000000000291205649874338,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Tmem50a,0.0000000000000000000000000000000000205000321811525,0.307327552490233,0.381,0.248,0.000000000000000000000000000000479700753038969,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Pkm,0.000000000000000000000000109758866991969,0.306687963277003,0.299,0.193,0.00000000000000000000256835748761208,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Tgfbr1,0.00000000000000236718884740538,0.303216492242494,0.103,0.054,0.0000000000553922190292858,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Il10rb,0.000000000000000000035955275133127,0.298779447171375,0.119,0.061,0.000000000000000841353438115173,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Dpep2,0.00000000000000000374575187503488,0.298325787784606,0.129,0.069,0.0000000000000876505938758163,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Bola2,0.0000000000000000000000660412251777536,0.296057214965332,0.21,0.125,0.00000000000000000154536466915944,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Ecm1,0.00000000000000000000000000000000592534971768048,0.292170618358079,0.212,0.117,0.000000000000000000000000000138653183393723,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Emr1,0.00000000000000000061093646761651,0.291635180444708,0.101,0.049,0.0000000000000142959133422263,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Gabarap,0.00000000000000000000000000000102551605366916,0.291152924022821,0.394,0.268,0.0000000000000000000000000239970756558583,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Tmed3,0.0000000000000000448813823957814,0.290989478591227,0.134,0.075,0.00000000000105022434806128,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Gng12,0.000000000000000446208195804128,0.290843634676426,0.109,0.057,0.0000000000104412717818166,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Psmb6,0.000000000000000113793304222076,0.288967905096485,0.273,0.19,0.00000000000266276331879659,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Crip1,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000323382808557887,0.28804190620486,0.704,0.494,0.000000000000000000000000000000000000000000000000000000000000000000000000000000756715772025456,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Alas1,0.000000000000000896328738578261,0.284931879087245,0.198,0.127,0.0000000000209740924827313,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Atp6ap1,0.0000000000000000139155638836005,0.282732508101779,0.16,0.094,0.000000000000325624194876252,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Atp6v0b,0.000000000000000000000000000544755491724081,0.282685350487441,0.272,0.169,0.0000000000000000000000127472785063435,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Grb2,0.0000000000000000203461015821812,0.281064486156544,0.17,0.102,0.000000000000476098777023039,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
4632428N05Rik,0.0000000000000000000000000573888276561695,0.280760546912702,0.119,0.056,0.00000000000000000000134289856715437,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Rrbp1,0.0000000000000000000000251431754668138,0.280014559935956,0.341,0.235,0.000000000000000000588350305923442,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Rab8b,0.0000000000000000232773913573064,0.279373765447917,0.127,0.069,0.00000000000054469095776097,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Ncf1,0.000000000000000000000000000212952386583947,0.277659272315035,0.204,0.116,0.00000000000000000000000498308584606436,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Cd14,0.00000000000000521788993587949,0.276383588699168,0.133,0.079,0.00000000012209862449958,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Hmox2,0.000000000000000365707882635306,0.272846097329002,0.136,0.078,0.00000000000855756445366616,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Cd36,0.0000000000015710453284156,0.271545489588587,0.281,0.206,0.000000036762460684925,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Prdx5,0.0000000000000000000000000000191748492302832,0.266548627028793,0.345,0.229,0.000000000000000000000000448691471988627,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Pycard,0.000000000000000000000000000345932624210241,0.266214974035198,0.211,0.123,0.00000000000000000000000809482340651965,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
1110007C09Rik,0.000000000000000000419238977415762,0.266084038879805,0.129,0.069,0.00000000000000981019207152882,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Idh1,0.0000000000000508472352962086,0.265527576183161,0.151,0.092,0.00000000118982530593128,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Gpx1,0.000000000000000000000000000000000000000000000980349519144255,0.26272682742949,0.653,0.498,0.0000000000000000000000000000000000000000229401787479756,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Unc93b1,0.00000000000000000309151171413534,0.255920205625337,0.157,0.092,0.000000000000072341374110767,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Mocs2,0.0000000000095326834862537,0.255604606999401,0.116,0.069,0.000000223064793578337,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Degs1,0.000000000000081929213424316,0.255589168858252,0.168,0.107,0.00000000191714359412899,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Oxct1,0.0000000000000000778762015998263,0.254855777831335,0.149,0.087,0.00000000000182230311743594,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Rhoc,0.0000000000000000000659864865224446,0.252942600920017,0.109,0.054,0.0000000000000015440837846252,3,resolution macrophages,Monocyte derived macrophages,Macrophages,
Ccl17,0,2.13101902717151,0.316,0.043,0,4,DCs,Dendritic cells,Dendritic cells,
Mgl2,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000241102097004283,1.80529908774985,0.24,0.024,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000564178906990021,4,DCs,Dendritic cells,Dendritic cells,
H2-Eb1,0,1.65078908640748,0.735,0.258,0,4,DCs,Dendritic cells,Dendritic cells,
H2-Ab1,0,1.62309579437804,0.799,0.352,0,4,DCs,Dendritic cells,Dendritic cells,
H2-Aa,0,1.55809620514989,0.781,0.338,0,4,DCs,Dendritic cells,Dendritic cells,
AA467197,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000945385252598777,1.31698633787349,0.3,0.087,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000221220149108114,4,DCs,Dendritic cells,Dendritic cells,
Cd74,0,1.22999379946,0.802,0.453,0,4,DCs,Dendritic cells,Dendritic cells,
S100a4,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040675038917213,1.2184492507077,0.518,0.193,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000951795910662785,4,DCs,Dendritic cells,Dendritic cells,
Ccr2,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204465391984394,1.17448678757782,0.294,0.091,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000478449017243482,4,DCs,Dendritic cells,Dendritic cells,
H2-DMa,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102214789727915,1.12677937024524,0.349,0.133,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000239182607963321,4,DCs,Dendritic cells,Dendritic cells,
Plbd1,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000580193506909667,1.05335675696007,0.198,0.051,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000135765280616862,4,DCs,Dendritic cells,Dendritic cells,
H2-DMb2,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000370964791579022,1.01887465719525,0.126,0.024,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000868057612294912,4,DCs,Dendritic cells,Dendritic cells,
H2-DMb1,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000288949536569326,0.968679431987354,0.221,0.086,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000676141915572224,4,DCs,Dendritic cells,Dendritic cells,
Cst3,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000781510434553723,0.868511063876253,0.801,0.547,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000182873441685571,4,DCs,Dendritic cells,Dendritic cells,
Ifi30,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000405136933792929,0.85524981021888,0.386,0.214,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000948020425075453,4,DCs,Dendritic cells,Dendritic cells,
Cfp,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000462123772658031,0.839147656635912,0.239,0.099,0.000000000000000000000000000000000000000000000000000000000000000000000000000000108136962801979,4,DCs,Dendritic cells,Dendritic cells,
Amica1,0.00000000000000000000000000000000000000000000000000000000000000779945189761184,0.817893109377481,0.123,0.032,0.000000000000000000000000000000000000000000000000000000000182507174404117,4,DCs,Dendritic cells,Dendritic cells,
Fcgr2b,0.0000000000000000000000000000000000000000000000000000000000000000000000000000011772118212418,0.774873753163124,0.283,0.154,0.0000000000000000000000000000000000000000000000000000000000000000000000000275467566170582,4,DCs,Dendritic cells,Dendritic cells,
mt-Rnr2,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057063908172156,0.742872777401415,0.939,0.934,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000133529545122845,4,DCs,Dendritic cells,Dendritic cells,
Bcl2a1d,0.00000000000000000000000000000000000000000000000105696417034447,0.738340533868455,0.162,0.069,0.0000000000000000000000000000000000000000000247329615860607,4,DCs,Dendritic cells,Dendritic cells,
Ccl9,0.0000000000000000000000000000000000000000000000000000000000000000000716994048340742,0.737260394078754,0.276,0.142,0.00000000000000000000000000000000000000000000000000000000000000167776607311734,4,DCs,Dendritic cells,Dendritic cells,
Cd52,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000692599535261019,0.719844719718911,0.549,0.314,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000162068291251079,4,DCs,Dendritic cells,Dendritic cells,
Gm2a,0.00000000000000000000000000000000000000000000000000000000000000000201596539608526,0.713137871240514,0.255,0.142,0.0000000000000000000000000000000000000000000000000000000000000471735902683951,4,DCs,Dendritic cells,Dendritic cells,
Syngr2,0.00000000000000000000000000000000000000000000000000164286309955818,0.699434236106748,0.174,0.086,0.0000000000000000000000000000000000000000000000384429965296615,4,DCs,Dendritic cells,Dendritic cells,
Atox1,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142792354482205,0.674500317606797,0.447,0.325,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033413410948836,4,DCs,Dendritic cells,Dendritic cells,
Ap1s2,0.000000000000000000000000000000000271285139443627,0.64215704786813,0.148,0.082,0.00000000000000000000000000000634807226298087,4,DCs,Dendritic cells,Dendritic cells,
Ly86,0.0000000000000000000000000000000000000242823254550344,0.631145537607272,0.182,0.093,0.000000000000000000000000000000000568206415647804,4,DCs,Dendritic cells,Dendritic cells,
Crip1,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000038949574135481,0.630629844656347,0.707,0.494,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000911420034770256,4,DCs,Dendritic cells,Dendritic cells,
Ccr5,0.0000000000000000000000000000000162118526132854,0.622040530046471,0.12,0.058,0.000000000000000000000000000379357351150879,4,DCs,Dendritic cells,Dendritic cells,
Lsp1,0.000000000000000000000000000000000000000000000000000237315366345303,0.611680259620404,0.272,0.153,0.00000000000000000000000000000000000000000000000555317957248008,4,DCs,Dendritic cells,Dendritic cells,
Id2,0.00000000000000000000000000000000000000000000000000000000000000000000000000000305706188770892,0.60387045526476,0.361,0.252,0.0000000000000000000000000000000000000000000000000000000000000000000000000715352481723886,4,DCs,Dendritic cells,Dendritic cells,
Sh3bgrl3,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011322562290711,0.578181502976515,0.568,0.428,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000264947957602638,4,DCs,Dendritic cells,Dendritic cells,
Alox5ap,0.0000000000000000000000000000000000000000000000000000000000000000000109703192042923,0.564949732297151,0.417,0.263,0.00000000000000000000000000000000000000000000000000000000000000025670546938044,4,DCs,Dendritic cells,Dendritic cells,
S100a6,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000737842281657089,0.56355360063744,0.583,0.352,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000172655093907759,4,DCs,Dendritic cells,Dendritic cells,
Pld4,0.000000000000000000000113147730443553,0.534934117055698,0.137,0.079,0.00000000000000000264765689237915,4,DCs,Dendritic cells,Dendritic cells,
Rgs2,0.00000000000000000000000000912676698046925,0.528677873549922,0.173,0.109,0.00000000000000000000021356634734298,4,DCs,Dendritic cells,Dendritic cells,
Rps11,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000701362352250758,0.515644644314556,0.651,0.539,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000164118790426677,4,DCs,Dendritic cells,Dendritic cells,
Evi2a,0.000000000000000000000000348244592481847,0.515524648939478,0.116,0.064,0.00000000000000000000814892346407523,4,DCs,Dendritic cells,Dendritic cells,
Bcl2a1b,0.0000000000000000000000000639941356759911,0.504497828895804,0.207,0.137,0.00000000000000000000149746277481819,4,DCs,Dendritic cells,Dendritic cells,
Mmp12,0.00000000000000000000000000000000000000000000000000000877251949292273,0.503336855709596,0.143,0.055,0.000000000000000000000000000000000000000000000000205276956134392,4,DCs,Dendritic cells,Dendritic cells,
Rps7,0.0000000000000000000000000000000000000000000000000000000000000000000385663706717747,0.500643270469345,0.444,0.339,0.000000000000000000000000000000000000000000000000000000000000000902453073719528,4,DCs,Dendritic cells,Dendritic cells,
Ms4a6c,0.0000000000000000000000000000000109574502132753,0.497884103977334,0.215,0.135,0.000000000000000000000000000256404334990642,4,DCs,Dendritic cells,Dendritic cells,
Gpx1,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000992819641777729,0.494651434247417,0.614,0.501,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000232319796175988,4,DCs,Dendritic cells,Dendritic cells,
Cotl1,0.00000000000000000000000000000000000150601009333416,0.492079637409512,0.257,0.181,0.0000000000000000000000000000000352406361840194,4,DCs,Dendritic cells,Dendritic cells,
H2afy,0.00000000000000000000000000927821636190315,0.488533715554678,0.155,0.104,0.000000000000000000000217110262868534,4,DCs,Dendritic cells,Dendritic cells,
Clec4n,0.0000000000000000000000000000000078914290934083,0.487663513560201,0.262,0.177,0.000000000000000000000000000184659440785754,4,DCs,Dendritic cells,Dendritic cells,
Aif1,0.00000000000000000000922613081472041,0.476376900211141,0.141,0.08,0.000000000000000215891461064458,4,DCs,Dendritic cells,Dendritic cells,
Gm9493,0.000000000000000000000000000000000000000000000000000000000201692956099664,0.469609170531673,0.399,0.316,0.00000000000000000000000000000000000000000000000000000471961517273214,4,DCs,Dendritic cells,Dendritic cells,
Cyth4,0.00000000000000000000545086521700633,0.46862567229999,0.137,0.083,0.000000000000000127550246077948,4,DCs,Dendritic cells,Dendritic cells,
Fxyd5,0.0000000000000000000000000000000000000000000000000000541054002838374,0.466241153729218,0.435,0.318,0.00000000000000000000000000000000000000000000000126606636664179,4,DCs,Dendritic cells,Dendritic cells,
Rps4x,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000321333346725834,0.463848674537902,0.594,0.482,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000751920031338452,4,DCs,Dendritic cells,Dendritic cells,
Fcer1g,0.0000000000000000000000000000000000000000000000000000000000000000000170116371418285,0.450774247758789,0.546,0.366,0.000000000000000000000000000000000000000000000000000000000000000398072309118786,4,DCs,Dendritic cells,Dendritic cells,
Zeb2,0.0000000000000000000000837785422321147,0.450156039936882,0.155,0.115,0.00000000000000000196041788823148,4,DCs,Dendritic cells,Dendritic cells,
Ptpn6,0.000000000000000000000000220008499111053,0.4420210939583,0.178,0.115,0.00000000000000000000514819887919864,4,DCs,Dendritic cells,Dendritic cells,
Srgn,0.00000000000000000000000000000000000000000000000000000000000605841397863813,0.440055877708024,0.411,0.284,0.000000000000000000000000000000000000000000000000000000141766887100132,4,DCs,Dendritic cells,Dendritic cells,
Arpc1b,0.0000000000000000000000000000000000000000000210771481203897,0.431364330452906,0.367,0.302,0.000000000000000000000000000000000000000493205266017118,4,DCs,Dendritic cells,Dendritic cells,
Rps25,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000326326233198033,0.430744440163188,0.65,0.566,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000763603385683397,4,DCs,Dendritic cells,Dendritic cells,
Rps24,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000727784358982229,0.427837781068559,0.602,0.489,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000170301540001842,4,DCs,Dendritic cells,Dendritic cells,
Rps9,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000410558955337002,0.424224060786108,0.748,0.644,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000960707955488585,4,DCs,Dendritic cells,Dendritic cells,
Ccdc12,0.000000000000000460635441129214,0.423554018584402,0.125,0.086,0.0000000000107788693224236,4,DCs,Dendritic cells,Dendritic cells,
Cd53,0.000000000000000000000349238919244969,0.423459301438812,0.218,0.16,0.00000000000000000817219071033228,4,DCs,Dendritic cells,Dendritic cells,
Gnb2l1,0.0000000000000000000000000000000000000000000000000000000000000000000113950834939016,0.422957082380825,0.43,0.361,0.000000000000000000000000000000000000000000000000000000000000000266644953757298,4,DCs,Dendritic cells,Dendritic cells,
Lilrb4,0.00000000000000000000000000132297830645314,0.421410395360747,0.263,0.195,0.0000000000000000000000309576923710034,4,DCs,Dendritic cells,Dendritic cells,
Rassf4,0.000000000000000384851452376402,0.420792866018856,0.111,0.072,0.00000000000900552398560782,4,DCs,Dendritic cells,Dendritic cells,
Cd48,0.0000000000000000662883926069852,0.41805035734499,0.133,0.086,0.00000000000155114838700345,4,DCs,Dendritic cells,Dendritic cells,
Gm7536,0.000000000000000000000000000000000000000200549183382181,0.418010945782897,0.29,0.249,0.00000000000000000000000000000000000469285089114302,4,DCs,Dendritic cells,Dendritic cells,
Rps15,0.00000000000000000000000000000000000000000000000000000000000000000000000000000456200078169214,0.415162284174292,0.568,0.476,0.000000000000000000000000000000000000000000000000000000000000000000000000106750818291596,4,DCs,Dendritic cells,Dendritic cells,
